SecrutyID;Horario;TipoOferta;Preço;Quantidade
3809688;20140610-13:26:16.605;1;0;0
3809688;20140610-13:26:16.942;0;29.38;6200
3809688;20140610-13:26:17.089;0;29.38;6100
3809688;20140610-13:26:17.094;0;29.38;5900
3809688;20140610-13:26:17.108;0;29.38;5800
3809688;20140610-13:26:19.509;0;29.38;5900
3809688;20140610-13:26:20.138;0;0;0
3809688;20140610-13:26:21.760;1;29.39;3700
3809688;20140610-13:26:22.418;0;0;0
3809688;20140610-13:26:22.419;0;29.39;3600
3809688;20140610-13:26:22.424;0;29.38;4000
3809688;20140610-13:26:22.429;0;29.38;5800
3809688;20140610-13:26:25.516;1;0;0
3809688;20140610-13:26:25.662;0;29.39;3200
3809688;20140610-13:26:25.664;1;0;0
3809688;20140610-13:26:25.666;0;29.36;2000
3809688;20140610-13:26:25.668;0;29.38;5700
3809688;20140610-13:26:25.670;0;29.39;4600
3809688;20140610-13:26:25.677;0;29.38;4000
3809688;20140610-13:26:25.686;0;29.38;8400
3809688;20140610-13:26:25.717;0;29.38;5700
3809688;20140610-13:26:25.865;1;29.49;2000
3809688;20140610-13:26:26.350;0;0;0
3809688;20140610-13:26:26.357;0;29.38;2900
3809688;20140610-13:26:26.358;0;29.38;3000
3809688;20140610-13:26:26.369;0;29.38;1900
3809688;20140610-13:26:26.369;0;29.38;2000
3809688;20140610-13:26:26.551;0;29.33;2000
3809688;20140610-13:26:27.361;0;29.38;2100
3809688;20140610-13:26:27.361;0;29.38;6500
3809688;20140610-13:26:28.620;1;29.4;300
3809688;20140610-13:26:31.508;0;29.38;400
3809688;20140610-13:26:31.538;0;29.38;7100
3809688;20140610-13:26:31.556;0;29.38;7600
3809688;20140610-13:26:31.584;0;29.38;400
3809688;20140610-13:26:31.591;0;29.38;8100
3809688;20140610-13:26:31.803;1;0;0
3809688;20140610-13:26:31.811;0;0;0
3809688;20140610-13:26:31.822;0;29.38;7600
3809688;20140610-13:26:34.030;0;29.38;200
3809688;20140610-13:26:34.200;1;29.39;5000
3809688;20140610-13:26:34.201;1;29.4;100
3809688;20140610-13:26:34.203;1;0;0
3809688;20140610-13:26:34.209;1;0;0
3809688;20140610-13:26:34.211;0;29.36;2000
3809688;20140610-13:26:34.239;0;29.38;10300
3809688;20140610-13:26:34.243;0;29.38;7600
3809688;20140610-13:26:34.256;0;29.38;1100
3809688;20140610-13:26:34.256;0;29.38;3100
3809688;20140610-13:26:34.397;0;0;0
3809688;20140610-13:26:34.397;1;29.48;2000
3809688;20140610-13:26:34.442;0;29.38;2100
3809688;20140610-13:26:34.443;0;29.38;7600
3809688;20140610-13:26:34.597;0;29.33;2000
3809688;20140610-13:26:35.773;1;29.4;300
3809688;20140610-13:26:35.991;0;29.38;900
3809688;20140610-13:26:36.299;0;29.38;5800
3809688;20140610-13:26:36.473;0;0;0
3809688;20140610-13:26:36.474;0;29.39;3600
3809688;20140610-13:26:36.478;1;29.39;3200
3809688;20140610-13:26:36.483;0;29.38;4000
3809688;20140610-13:26:36.561;1;0;0
3809688;20140610-13:26:37.244;0;29.39;3100
3809688;20140610-13:26:37.251;0;29.38;5800
3809688;20140610-13:26:38.229;1;29.39;100
3809688;20140610-13:26:38.240;1;29.39;100
3809688;20140610-13:26:38.299;0;29.39;2700
3809688;20140610-13:26:38.307;0;29.38;800
3809688;20140610-13:26:39.380;0;29.39;2100
3809688;20140610-13:26:39.386;0;29.38;4000
3809688;20140610-13:26:39.387;1;0;0
3809688;20140610-13:26:39.388;1;0;0
3809688;20140610-13:26:39.390;0;29.39;1600
3809688;20140610-13:26:39.395;0;29.38;5800
3809688;20140610-13:26:39.464;0;29.39;900
3809688;20140610-13:26:39.472;0;29.38;100
3809688;20140610-13:26:39.480;1;0;0
3809688;20140610-13:26:39.480;1;29.5;300
3809688;20140610-13:26:39.484;0;29.39;800
3809688;20140610-13:26:39.484;0;29.39;5000
3809688;20140610-13:26:39.485;0;29.39;4000
3809688;20140610-13:26:39.490;1;29.39;100
3809688;20140610-13:26:39.491;0;29.38;4000
3809688;20140610-13:26:39.493;0;29.38;5800
3809688;20140610-13:26:39.495;1;29.4;4000
3809688;20140610-13:26:39.497;0;29.39;3400
3809688;20140610-13:26:39.502;0;29.38;4000
3809688;20140610-13:26:39.504;0;29.39;2800
3809688;20140610-13:26:39.510;0;29.38;5800
3809688;20140610-13:26:39.511;1;29.4;300
3809688;20140610-13:26:39.523;0;29.39;2300
3809688;20140610-13:26:39.523;0;29.39;1700
3809688;20140610-13:26:39.526;0;0;0
3809688;20140610-13:26:39.528;0;29.38;3500
3809688;20140610-13:26:39.532;0;0;0
3809688;20140610-13:26:39.536;0;29.36;500
3809688;20140610-13:26:39.539;0;29.38;5200
3809688;20140610-13:26:39.541;0;29.38;4000
3809688;20140610-13:26:39.543;0;29.38;5700
3809688;20140610-13:26:39.553;0;29.38;5300
3809688;20140610-13:26:39.555;0;0;0
3809688;20140610-13:26:39.563;0;29.35;800
3809688;20140610-13:26:39.569;0;29.38;4400
3809688;20140610-13:26:39.575;0;29.38;5100
3809688;20140610-13:26:39.629;0;29.38;5600
3809688;20140610-13:26:39.638;0;29.38;6200
3809688;20140610-13:26:39.643;0;29.38;6700
3809688;20140610-13:26:39.666;0;29.38;9400
3809688;20140610-13:26:39.681;1;29.48;2000
3809688;20140610-13:26:39.687;0;29.38;10100
3809688;20140610-13:26:39.702;0;29.38;9400
3809688;20140610-13:26:39.704;1;0;0
3809688;20140610-13:26:39.706;0;29.39;1300
3809688;20140610-13:26:39.711;0;29.38;9500
3809688;20140610-13:26:39.717;0;29.39;900
3809688;20140610-13:26:39.722;0;29.37;2500
3809688;20140610-13:26:39.722;0;29.38;4000
3809688;20140610-13:26:39.723;1;0;0
3809688;20140610-13:26:39.736;0;29.39;300
3809688;20140610-13:26:39.741;0;29.38;9500
3809688;20140610-13:26:39.747;0;29.39;4400
3809688;20140610-13:26:39.749;0;29.39;3600
3809688;20140610-13:26:39.750;1;0;0
3809688;20140610-13:26:39.753;0;29.38;4000
3809688;20140610-13:26:39.756;0;29.38;9500
3809688;20140610-13:26:39.759;0;29.39;3300
3809688;20140610-13:26:39.763;1;29.39;3100
3809688;20140610-13:26:39.769;0;29.38;4000
3809688;20140610-13:26:39.778;0;29.39;3000
3809688;20140610-13:26:39.778;0;29.39;2800
3809688;20140610-13:26:39.780;1;29.4;300
3809688;20140610-13:26:39.782;0;0;0
3809688;20140610-13:26:39.784;1;29.39;2700
3809688;20140610-13:26:39.789;0;29.36;100
3809688;20140610-13:26:39.798;0;29.38;9600
3809688;20140610-13:26:39.800;0;29.38;4000
3809688;20140610-13:26:39.815;0;29.38;9400
3809688;20140610-13:26:39.825;0;29.38;9200
3809688;20140610-13:26:39.830;0;29.38;8100
3809688;20140610-13:26:39.844;0;29.38;8800
3809688;20140610-13:26:39.849;0;29.38;9400
3809688;20140610-13:26:39.853;0;29.38;9900
3809688;20140610-13:26:39.857;0;29.38;9400
3809688;20140610-13:26:39.863;0;29.38;8800
3809688;20140610-13:26:39.883;0;29.38;8100
3809688;20140610-13:26:39.906;1;29.48;2000
3809688;20140610-13:26:40.040;0;29.38;8600
3809688;20140610-13:26:40.046;0;29.38;9200
3809688;20140610-13:26:40.077;0;29.38;8600
3809688;20140610-13:26:40.084;0;29.38;9200
3809688;20140610-13:26:40.092;0;29.38;8600
3809688;20140610-13:26:40.097;0;29.38;8100
3809688;20140610-13:26:41.212;B;11554530;587
3809688;20140610-13:26:41.591;0;29.39;1900
3809688;20140610-13:26:41.593;1;0;0
3809688;20140610-13:26:41.596;0;29.38;8200
3809688;20140610-13:26:41.596;1;0;0
3809688;20140610-13:26:41.597;0;29.36;2000
3809688;20140610-13:26:41.598;0;29.39;4300
3809688;20140610-13:26:41.601;0;29.39;1600
3809688;20140610-13:26:41.604;0;29.38;2700
3809688;20140610-13:26:41.607;0;29.38;8200
3809688;20140610-13:26:41.608;0;0;0
3809688;20140610-13:26:41.610;0;29.39;4800
3809688;20140610-13:26:41.614;0;29.39;4600
3809688;20140610-13:26:41.615;1;29.39;4500
3809688;20140610-13:26:41.620;1;29.39;4900
3809688;20140610-13:26:41.620;1;29.39;4100
3809688;20140610-13:26:41.621;1;29.4;100
3809688;20140610-13:26:41.621;1;0;0
3809688;20140610-13:26:41.639;0;29.38;8400
3809688;20140610-13:26:41.653;0;0;0
3809688;20140610-13:26:41.664;0;29.39;700
3809688;20140610-13:26:41.668;0;29.36;800
3809688;20140610-13:26:41.669;0;29.38;6300
3809688;20140610-13:26:41.673;0;29.39;1200
3809688;20140610-13:26:41.677;0;0;0
3809688;20140610-13:26:41.687;0;0;0
3809688;20140610-13:26:41.687;1;0;0
3809688;20140610-13:26:41.690;0;29.35;800
3809688;20140610-13:26:41.692;0;29.38;1800
3809688;20140610-13:26:41.717;0;29.38;1100
3809688;20140610-13:26:41.727;0;29.38;1800
3809688;20140610-13:26:41.729;1;29.39;1500
3809688;20140610-13:26:41.761;1;29.4;100
3809688;20140610-13:26:41.761;1;0;0
3809688;20140610-13:26:41.872;0;29.38;1300
3809688;20140610-13:26:41.887;0;29.33;2000
3809688;20140610-13:26:41.887;1;29.5;2000
3809688;20140610-13:26:41.893;0;29.38;500
3809688;20140610-13:26:41.902;0;0;0
3809688;20140610-13:26:41.912;0;29.35;500
3809688;20140610-13:26:41.931;0;29.37;500
3809688;20140610-13:26:41.952;0;29.35;2000
3809688;20140610-13:26:41.952;1;29.48;2000
3809688;20140610-13:26:41.959;0;29.38;1300
3809688;20140610-13:26:41.966;0;0;0
3809688;20140610-13:26:41.976;0;29.38;1800
3809688;20140610-13:26:41.977;0;29.35;800
3809688;20140610-13:26:42.031;0;29.38;1100
3809688;20140610-13:26:42.050;0;29.37;1200
3809688;20140610-13:26:42.087;0;29.38;1500
3809688;20140610-13:26:42.098;0;29.38;1800
3809688;20140610-13:26:42.113;0;29.37;200
3809688;20140610-13:26:42.147;0;29.38;1400
3809688;20140610-13:26:42.175;0;29.37;700
3809688;20140610-13:26:42.486;0;29.38;1000
3809688;20140610-13:26:42.498;0;29.38;500
3809688;20140610-13:26:42.500;0;29.37;200
3809688;20140610-13:26:42.506;0;0;0
3809688;20140610-13:26:42.516;0;29.35;500
3809688;20140610-13:26:42.548;0;29.37;300
3809688;20140610-13:26:42.553;0;0;0
3809688;20140610-13:26:42.664;0;29.38;1800
3809688;20140610-13:26:42.672;0;0;0
3809688;20140610-13:26:42.682;0;29.35;800
3809688;20140610-13:26:42.690;0;29.37;2000
3809688;20140610-13:26:46.509;0;29.38;400
3809688;20140610-13:26:47.319;0;29.39;1300
3809688;20140610-13:26:47.319;1;0;0
3809688;20140610-13:26:47.324;0;29.36;2000
3809688;20140610-13:26:47.324;0;29.38;1600
3809688;20140610-13:26:47.329;0;29.39;4800
3809688;20140610-13:26:47.336;0;29.38;100
3809688;20140610-13:26:47.361;1;29.4;100
3809688;20140610-13:26:47.362;0;0;0
3809688;20140610-13:26:47.362;1;0;0
3809688;20140610-13:26:47.372;0;29.36;800
3809688;20140610-13:26:47.414;0;0;0
3809688;20140610-13:26:47.420;0;0;0
3809688;20140610-13:26:47.421;0;0;0
3809688;20140610-13:26:47.452;0;0;0
3809688;20140610-13:26:47.463;0;0;0
3809688;20140610-13:26:47.473;0;29.36;500
3809688;20140610-13:26:47.493;1;29.39;4600
3809688;20140610-13:26:47.508;0;0;0
3809688;20140610-13:26:47.520;1;29.49;2000
3809688;20140610-13:26:47.538;0;29.35;800
3809688;20140610-13:26:47.565;0;0;0
3809688;20140610-13:26:47.576;0;29.36;500
3809688;20140610-13:26:47.616;0;29.37;2500
3809688;20140610-13:26:47.654;0;29.33;2000
3809688;20140610-13:26:47.730;0;0;0
3809688;20140610-13:26:47.782;0;0;0
3809688;20140610-13:26:47.790;1;29.48;2000
3809688;20140610-13:26:47.792;0;29.35;800
3809688;20140610-13:26:47.929;0;0;0
3809688;20140610-13:26:47.942;0;29.36;500
3809688;20140610-13:26:47.951;0;0;0
3809688;20140610-13:26:47.957;0;29.36;400
3809688;20140610-13:26:47.970;0;0;0
3809688;20140610-13:26:47.980;0;29.36;200
3809688;20140610-13:26:47.994;0;0;0
3809688;20140610-13:26:48.000;0;29.36;100
3809688;20140610-13:26:48.013;0;0;0
3809688;20140610-13:26:48.024;0;29.36;500
3809688;20140610-13:26:48.113;1;29.4;300
3809688;20140610-13:26:48.368;0;0;0
3809688;20140610-13:26:48.379;0;29.35;800
3809688;20140610-13:26:51.156;0;0;0
3809688;20140610-13:26:51.157;0;29.33;100
3809688;20140610-13:26:51.217;0;0;0
3809688;20140610-13:26:51.217;1;0;0
3809688;20140610-13:26:51.219;1;29.39;300
3809688;20140610-13:26:51.224;1;29.43;100
3809688;20140610-13:26:51.226;1;29.39;300
3809688;20140610-13:26:51.855;0;29.38;400
3809688;20140610-13:26:52.095;0;0;0
3809688;20140610-13:27:00.012;1;29.4;1300
3809688;20140610-13:27:00.016;1;29.39;100
3809688;20140610-13:27:00.021;1;29.4;100
3809688;20140610-13:27:00.026;1;29.41;100
3809688;20140610-13:27:00.031;1;29.42;100
3809688;20140610-13:27:00.143;0;29.38;300
3809688;20140610-13:27:01.744;1;29.39;5000
3809688;20140610-13:27:01.745;1;0;0
3809688;20140610-13:27:01.753;0;29.29;100
3809688;20140610-13:27:01.756;1;29.4;5000
3809688;20140610-13:27:03.699;1;29.39;300
3809688;20140610-13:27:03.707;0;29.33;100
3809688;20140610-13:27:03.709;1;29.39;300
3809688;20140610-13:27:08.097;1;0;0
3809688;20140610-13:27:08.115;1;29.4;5000
3809688;20140610-13:27:11.416;B;12536156;611
3809688;20140610-13:27:15.040;1;29.41;300
3809688;20140610-13:27:15.245;1;0;0
3809688;20140610-13:27:15.245;0;29.36;2000
3809688;20140610-13:27:15.274;0;0;0
3809688;20140610-13:27:15.286;0;29.36;800
3809688;20140610-13:27:15.446;1;29.49;2000
3809688;20140610-13:27:15.494;1;0;0
3809688;20140610-13:27:15.501;1;29.41;300
3809688;20140610-13:27:15.504;1;0;0
3809688;20140610-13:27:18.371;1;29.39;100
3809688;20140610-13:27:21.760;1;29.39;3800
3809688;20140610-13:27:22.726;1;29.39;1600
3809688;20140610-13:27:27.289;1;29.39;1500
3809688;20140610-13:27:29.852;1;0;0
3809688;20140610-13:27:30.145;1;29.39;1200
3809688;20140610-13:27:33.915;0;29.482;100
3809688;20140610-13:27:33.916;1;29.39;300
3809688;20140610-13:27:33.938;1;29.39;300
3809688;20140610-13:27:33.942;0;29.38;1500
3809688;20140610-13:27:37.104;1;0;0
3809688;20140610-13:27:37.114;1;29.4;5000
3809688;20140610-13:27:39.513;1;29.39;300
3809688;20140610-13:27:39.533;1;29.39;300
3809688;20140610-13:27:39.652;0;0;0
3809688;20140610-13:27:39.653;0;29.32;1000
3809688;20140610-13:27:40.775;0;0;0
3809688;20140610-13:27:40.776;0;29.36;1000
3809688;20140610-13:27:41.248;1;29.39;900
3809688;20140610-13:27:41.556;B;12659593;617
3809688;20140610-13:27:41.729;1;29.39;100
3809688;20140610-13:27:41.730;1;0;0
3809688;20140610-13:27:41.788;1;29.4;5000
3809688;20140610-13:27:42.555;0;29.38;100
3809688;20140610-13:27:42.568;0;29.38;500
3809688;20140610-13:27:42.569;1;29.39;300
3809688;20140610-13:27:42.582;1;29.39;300
3809688;20140610-13:27:43.762;0;29.33;100
3809688;20140610-13:27:51.157;0;0;0
3809688;20140610-13:27:51.158;0;29.34;100
3809688;20140610-13:27:51.430;1;0;0
3809688;20140610-13:27:51.441;1;29.4;5000
3809688;20140610-13:27:53.668;1;0;0
3809688;20140610-13:27:53.669;0;29.37;2000
3809688;20140610-13:27:53.670;0;29.38;300
3809688;20140610-13:27:53.693;1;29.39;5000
3809688;20140610-13:27:53.698;0;0;0
3809688;20140610-13:27:53.712;0;29.37;800
3809688;20140610-13:27:53.718;0;29.33;600
3809688;20140610-13:27:53.728;0;29.38;900
3809688;20140610-13:27:53.768;1;29.39;2800
3809688;20140610-13:27:53.869;1;29.52;2000
3809688;20140610-13:27:53.994;0;0;0
3809688;20140610-13:27:54.061;0;29.33;500
3809688;20140610-13:27:54.087;0;29.35;100
3809688;20140610-13:27:54.232;0;29.38;300
3809688;20140610-13:27:54.789;0;0;0
3809688;20140610-13:27:54.800;1;29.39;1500
3809688;20140610-13:27:54.807;0;29.37;900
3809688;20140610-13:27:54.807;0;0;0
3809688;20140610-13:27:54.809;1;29.39;1400
3809688;20140610-13:27:54.815;1;29.39;1300
3809688;20140610-13:27:54.818;0;29.36;800
3809688;20140610-13:27:54.991;0;29.36;2000
3809688;20140610-13:27:55.185;0;29.32;1000
3809688;20140610-13:27:55.193;0;29.33;100
3809688;20140610-13:27:55.234;1;29.49;2000
3809688;20140610-13:28:00.155;0;29.38;300
3809688;20140610-13:28:00.161;1;0;0
3809688;20140610-13:28:00.161;0;0;0
3809688;20140610-13:28:00.470;0;29.38;400
3809688;20140610-13:28:00.673;0;0;0
3809688;20140610-13:28:01.287;1;29.39;1100
3809688;20140610-13:28:01.388;0;0;0
3809688;20140610-13:28:01.397;0;29.33;100
3809688;20140610-13:28:01.744;1;29.39;5000
3809688;20140610-13:28:01.745;1;29.39;4500
3809688;20140610-13:28:01.755;0;0;0
3809688;20140610-13:28:05.433;1;29.39;4400
3809688;20140610-13:28:06.267;0;29.33;600
3809688;20140610-13:28:06.355;0;29.34;100
3809688;20140610-13:28:08.156;0;0;0
3809688;20140610-13:28:09.033;0;29.35;1000
3809688;20140610-13:28:11.680;B;12880008;630
3809688;20140610-13:28:12.224;0;29.38;400
3809688;20140610-13:28:12.306;0;0;0
3809688;20140610-13:28:18.477;0;29.38;400
3809688;20140610-13:28:18.555;0;29.34;100
3809688;20140610-13:28:18.577;0;0;0
3809688;20140610-13:28:19.156;0;0;0
3809688;20140610-13:28:21.760;1;29.39;4000
3809688;20140610-13:28:21.762;0;29.34;100
3809688;20140610-13:28:27.300;1;29.39;100
3809688;20140610-13:28:28.156;0;0;0
3809688;20140610-13:28:28.410;1;0;0
